"report_date","active_users","new_users","total_users","user_engagement_duration","user_key_event_rate","active_1day_users","active_7day_users","active_28day_users","dau_per_wau","dau_per_mau","wau_per_mau","first_time_purchasers","first_time_purchaser_rate","total_purchasers","first_time_purchasers_per_new_user","new_vs_returning"
2024-09-14,192,192,192,13494,0.16145833333333334,192,1432,5261,0.1340782122905028,0.03473227206946455,0.32642487046632124,0,0.0,0,0.0,new
2024-09-14,6,0,6,366,0.16666666666666666,6,126,365,0.047619047619047616,0.015544041450777202,0.2590448625180897,0,0.0,0,0.0,returning
2024-09-14,1,0,5,84,0.0,1,6,62,0.16666666666666666,0.014705882352941176,0.08823529411764706,0,0.0,0,0.0,(not set)
2024-09-15,283,283,283,12500,0.1413427561837456,283,1543,5433,0.1834089436163318,0.05,0.3125,0,0.0,0,0.0,new
2024-09-15,15,0,15,1482,0.0,15,120,368,0.125,0.0390625,0.2726148409893993,0,0.0,0,0.0,returning
2024-09-15,1,0,7,15,0.0,1,7,62,0.14285714285714285,0.015625,0.109375,0,0.0,0,0.0,(not set)
2024-09-16,743,744,743,25562,0.06864064602960969,743,2122,6055,0.3501413760603205,0.1189370898031055,0.3542168674698795,0,0.0,0,0.0,new
2024-09-16,62,0,62,5906,0.04838709677419355,62,147,400,0.4217687074829932,0.1493975903614458,0.3396830478629742,0,0.0,0,0.0,returning
2024-09-16,5,0,11,85,0.2,5,10,65,0.5,0.07462686567164178,0.14925373134328357,0,0.0,0,0.0,(not set)
2024-09-17,545,544,545,23587,0.09357798165137615,545,2435,6449,0.22381930184804927,0.08181954661462243,0.4035476718403548,0,0.0,0,0.0,new
2024-09-17,72,0,72,11887,0.041666666666666664,72,182,423,0.3956043956043956,0.15964523281596452,0.36556072661762495,0,0.0,0,0.0,returning
2024-09-17,4,0,19,20,0.0,4,13,68,0.3076923076923077,0.057971014492753624,0.18840579710144928,0,0.0,0,0.0,(not set)
2024-09-18,208,208,208,7918,0.09134615384615384,208,2382,6557,0.0873215785054576,0.03078744819419775,0.42917547568710357,0,0.0,0,0.0,new
2024-09-18,49,0,49,5381,0.12244897959183673,49,203,448,0.2413793103448276,0.10359408033826638,0.35257548845470693,0,0.0,0,0.0,returning
2024-09-18,2,0,25,58,0.0,2,15,67,0.13333333333333333,0.02857142857142857,0.21428571428571427,0,0.0,0,0.0,(not set)
2024-09-19,224,224,224,6198,0.07142857142857142,224,2361,6304,0.09487505294366794,0.03255340793489318,0.4432773109243697,0,0.0,0,0.0,new
2024-09-19,44,0,44,3328,0.022727272727272728,44,211,458,0.20853080568720378,0.09243697478991597,0.34311873274233395,0,0.0,0,0.0,returning
2024-09-19,1,0,8,0,0.0,1,15,63,0.06666666666666667,0.014084507042253521,0.2112676056338028,0,0.0,0,0.0,(not set)
2024-09-20,148,148,148,4954,0.07432432432432433,148,2341,6143,0.06322084579239641,0.021384193035688483,0.42916666666666664,0,0.0,0,0.0,new
2024-09-20,26,0,26,1871,0.038461538461538464,26,206,457,0.1262135922330097,0.05416666666666667,0.3382459182199104,0,0.0,0,0.0,returning
2024-09-20,2,0,11,47,0.0,2,14,65,0.14285714285714285,0.02857142857142857,0.2,0,0.0,0,0.0,(not set)
2024-09-21,36,36,36,1072,0.08333333333333333,36,2185,5974,0.016475972540045767,0.005552128315854411,0.4397463002114165,0,0.0,0,0.0,new
2024-09-21,7,0,7,460,0.0,7,208,457,0.03365384615384615,0.014799154334038054,0.33698334361505244,0,0.0,0,0.0,returning
2024-09-21,1,0,10,0,0.0,1,15,65,0.06666666666666667,0.015151515151515152,0.22727272727272727,0,0.0,0,0.0,(not set)
2024-09-22,64,63,64,3470,0.03125,64,1965,5879,0.03256997455470738,0.01024,0.4437367303609342,0,0.0,0,0.0,new
2024-09-22,11,0,11,186,0.09090909090909091,11,209,456,0.05263157894736842,0.02335456475583864,0.3144,0,0.0,0,0.0,returning
2024-09-22,0,0,6,0,0.0,0,14,64,0.0,0.0,0.21212121212121213,0,0.0,0,0.0,(not set)
2024-09-23,154,153,154,5848,0.045454545454545456,154,1376,5828,0.1119186046511628,0.024894924021985128,0.38979591836734695,0,0.0,0,0.0,new
2024-09-23,34,0,34,2618,0.0,34,191,464,0.17801047120418848,0.06938775510204082,0.22243776268994503,0,0.0,0,0.0,returning
